gender,height,weight,wingspan,experience,boulder_max,boulder_recent,boulder_90,route_max,route_recent,route_90,freq_climb,hrs_climb,hrs_train,freq_hang,weight_hang_half,weight_hang_open,mm_hang_half,mm_hang_open,campus_freq,campus_dur,end_freq,cross_freq,hrs_cross,pull_rep,pull_weight,push_rep,lsit_time,back_2,back_3,front_2,front_3,full_crimp,half_crimp,middle_2,monos,open_crimp,pinch,slopers,hangboard,no_hangs,max_weight,min_edge,one_arm_hang_program,other_protocol,repeaters,hangboard_2,4x4,arc,feet_on_campusing,laps_of_routes,max_moves,hangboard_repeater_protocols,other,route_climbing_intervals,systems_boards,threshold_intervals,endurance,antagonists,core,legs,upper_body_pulling,upper_body_pushing,strength,indoor,outdoor,act_count,running,yoga,biking,cardio,hiking,other_cross
0,178.0,67.0,175.0,5,7.0,6.0,5.0,21,21,19,3,4,3,2,25.0,25.0,0.0,0.0,0,0,2,3,2,17.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,True,0,0,0,0,1,0,True,1,1,0,0,0,0,0,1,0,0,True,1,1,0,1,1,True,0,1,1,0,0,0,0,0,1
0,173.0,70.0,178.0,9,5.0,4.0,3.0,21,21,18,2,6,1,1,15.0,0.0,0.0,0.0,0,0,1,0,0,8.0,0.0,30.0,0.0,0,0,0,0,0,1,0,0,0,0,0,True,0,1,0,0,0,0,True,0,0,0,1,0,0,0,1,0,0,True,1,1,1,0,0,True,0,1,0,0,0,0,0,0,0
0,186.0,88.0,192.0,1,5.0,5.0,3.0,23,22,21,3,8,8,1,0.0,0.0,0.0,0.0,0,0,2,3,4,9.0,25.0,25.0,0.0,0,0,0,0,0,1,0,0,1,0,1,True,0,0,0,0,0,1,True,0,0,0,1,0,0,0,1,0,1,True,1,1,0,1,1,True,0,1,1,0,0,0,1,0,0
0,185.0,60.0,180.0,5,2.0,2.0,1.0,21,21,18,1,3,1,0,0.0,0.0,0.0,0.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,True,1,0,0,0,0,0,0,0,0
0,178.0,81.0,178.0,5,7.0,7.0,5.0,25,23,21,2,4,0,1,0.0,0.0,0.0,0.0,0,0,2,3,3,7.0,0.0,30.0,0.0,0,0,0,0,1,1,1,0,1,0,1,True,0,0,0,0,0,1,True,0,1,0,0,0,0,0,0,0,0,True,1,1,1,1,1,True,1,0,1,1,0,0,0,0,0
0,175.0,60.0,180.0,5,8.0,8.0,8.0,30,29,28,2,6,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,1,0,0,0,0,0,0,0
1,168.0,54.0,170.0,1,6.0,6.0,4.0,25,25,22,4,8,8,2,0.0,0.0,0.0,0.0,0,0,1,4,2,12.0,0.0,30.0,0.0,1,1,1,1,0,0,1,0,1,0,1,True,0,0,0,0,0,1,True,0,0,0,1,0,1,0,0,0,0,True,1,1,1,1,1,True,1,0,2,0,0,0,1,1,0
1,157.0,50.0,158.0,2,4.0,3.0,2.0,23,23,19,2,4,1,0,0.0,0.0,0.0,0.0,0,0,1,2,2,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,1,0,0,1,1,0,0,0,0,0,True,1,1,0,1,1,True,0,1,1,1,0,0,0,0,0
0,188.0,100.0,195.0,3,9.0,7.0,5.0,25,23,22,4,10,3,2,22.0,23.0,14.0,14.0,0,0,1,3,1,20.0,85.0,40.0,20.0,0,0,0,0,0,1,0,0,0,0,0,True,0,1,1,0,0,1,True,0,1,0,0,0,0,0,1,0,0,True,1,1,0,1,0,True,0,1,1,0,0,1,0,0,0
0,176.0,60.0,177.0,2,7.0,7.0,5.0,25,24,23,3,8,2,1,0.0,0.0,0.0,0.0,0,0,0,1,1,10.0,0.0,30.0,30.0,0,0,0,1,0,1,1,0,0,0,1,True,0,0,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,True,1,1,0,0,1,True,0,1,1,0,0,0,0,0,1
0,190.0,82.0,197.0,2,6.0,5.0,4.0,24,21,20,3,4,2,2,10.0,0.0,18.0,18.0,0,0,2,2,2,10.0,15.0,30.0,5.0,0,0,0,0,0,1,0,0,0,0,0,True,0,0,0,0,1,0,True,0,1,0,0,0,0,1,0,0,0,True,1,1,0,1,1,True,0,1,0,0,0,0,0,0,0
0,177.0,66.0,178.0,7,7.0,7.0,6.0,29,28,26,3,8,1,0,0.0,0.0,10.0,10.0,0,0,1,1,1,20.0,0.0,40.0,20.0,1,1,1,1,1,1,1,0,1,0,1,True,0,0,0,0,0,1,True,1,0,1,1,0,1,0,0,0,0,True,1,1,0,1,1,True,0,1,0,0,0,0,0,0,0
